vocab,hanja,dict_mean
가옥,"[('집 가'), ('집 옥')]",사람이 사는 집.
감수성,"[('느낄 감'), ('받을 수'), ('성품 성')]",외부 세계의 자극을 받아들이고 느끼는 성질.
결단력,"[('결정할 결'), ('끊을 단'), ('힘 력')]",결정적인 판단을 하거나 단정을 내릴 수 있는 능력.
고립,"[('외로울 고'), ('설 립')]",다른 사람과 어울리어 사귀지 아니하거나 다른 사람의 도움을 받지 못하여 외따로 떨어짐.
공교육,"[('공변될 공'), ('가르칠 교'), ('기를 육')]","국가가 제도적으로 시행하는 제도권 내 교육. 국립 학교 교육, 공립 학교 교육, 사립 학교 교육이 있다."
공직,"[('공변될 공'), ('벼슬 직')]",국가 기관이나 공공 단체의 일을 맡아보는 직책이나 직무.
국경,"[('나라 국'), ('지경 경')]",나라와 나라의 영역을 가르는 경계.
기권,"[('버릴 기'), ('권세 권')]","투표, 의결, 경기 따위에 참가할 수 있는 권리를 스스로 포기하고 행사하지 아니함."
기세,"[('기운 기'), ('기세 세')]",남에게 영향을 끼칠 기운이나 태도.
노령,"[('늙을 로'), ('나이 령')]",늙은 나이.
단호하다,"[('끊을 단'), ('어조사 호')]","결심이나 태도, 입장 따위가 과단성 있고 엄격하다."
독거노인,"[('홀로 독'), ('살 거'), ('늙을 로'), ('사람 인')]",가족 없이 혼자 살아가는 노인.
동문,"[('같을 동'), ('문 문')]",같은 문중이나 종파.
등반,"[('오를 등'), ('더위 잡을 반')]",험한 산이나 높은 곳의 정상에 이르기 위하여 오름.
매매,"[('팔 매'), ('살 매')]",물건을 팔고 사는 일.
무성하다,"[('우거질 무'), ('성할 성')]","생각이나 말, 소문 따위가 마구 뒤섞이거나 퍼져서 많다."
백년해로,"[('일백 백'), ('해 년'), ('함께 해'), ('늙을 로')]",부부가 되어 한평생을 사이좋게 지내고 즐겁게 함께 늙음.
빈혈,"[('가난할 빈'), ('피 혈')]",신체의 어떤 부위로 유입하는 동맥성의 혈액량이 감소한 상태. 혈관 운동 신경의 조절 장애로 일어나는 것으로 뇌빈혈 따위가 있다.
상업적,"[('장사 상'), ('업 업'), ('과녁 적')]",상품을 사고파는 행위를 통하여 이익을 얻는. 또는 그런 것.
성실성,"[('정성 성'), ('열매 실'), ('성품 성')]",정성스럽고 진실한 품성.
수산물,"[('물 수'), ('낳을 산'), ('만물 물')]",바다나 강 따위의 물에서 나는 산물.
실용성,"[('열매 실'), ('쓸 용'), ('성품 성')]",실제적인 쓸모가 있는 성질이나 특성.
연일,"[('잇닿을 련'), ('날 일')]",여러 날을 계속하여.
염치,"[('청렴할 렴'), ('부끄러워할 치')]",체면을 차릴 줄 알며 부끄러움을 아는 마음.
외신,"[('바깥 외'), ('믿을 신')]",외국으로부터 온 통신.
운전자,"[('운전할 운'), ('구를 전'), ('놈 자')]",자동차를 운전하는 사람.
위태롭다,"[('위태할 위'), ('위태할 태')]",어떤 형세가 마음을 놓을 수 없을 만큼 위험한 듯하다.
유의,"[('있을 유'), ('뜻 의')]",의미나 뜻이 있음.
의식주,"[('옷 의'), ('먹을 식'), ('살 주')]",옷과 음식과 집을 통틀어 이르는 말. 인간 생활의 세 가지 기본 요소이다.
이론적,"[('다스릴 리'), ('논의할 론'), ('과녁 적')]","사실로써 증명할 수 있는 성질이 부족한, 순 관념적으로 만들어진. 또는 그런 것."
인출,"[('끌 인'), ('날 출')]",예금 따위를 찾음.
전신,"[('온전할 전'), ('몸 신')]",몸 전체.
정서적,"[('뜻 정'), ('실마리 서'), ('과녁 적')]",정서를 불러일으키는. 또는 그런 것.
제과,"[('지을 제'), ('실과 과')]",과자나 빵 따위를 만듦.
증가세,"[('더할 증'), ('더할 가'), ('기세 세')]",점점 늘어나는 흐름이나 경향.
진급,"[('나아갈 진'), ('등급 급')]","계급, 등급, 학년 따위가 올라감."
천만다행,"[('일천 천'), ('일만 만'), ('많을 다'), ('다행 행')]",아주 다행함.
총액,"[('거느릴 총'), ('이마 액')]",전체의 액수.
취약,"[('무를 취'), ('약할 약')]",무르고 약함.
친분,"[('친할 친'), ('나눌 분')]",아주 가깝고 두터운 정분.
탐구,"[('찾을 탐'), ('구할 구')]","필요한 것을 조사하여 찾아내거나 얻어 냄."
통신비,"[('통할 통'), ('믿을 신'), ('쓸 비')]","통신에 드는 비용."
파격,"[('깨뜨릴 파'), ('격식 격')]","일정한 격식을 깨뜨림. 또는 그 격식."
평화적,"[('평평할 평'), ('화목할 화'), ('과녁 적')]","전쟁, 분쟁 또는 일체의 갈등 없이 평온한. 또는 그런 것."
풍성하다,"[('풍년 풍'), ('성할 성')]","넉넉하고 많다."
험악하다,"[('험할 험'), ('악할 악')]","인심, 성질, 태도, 생김새 따위가 흉악하다."
호황,"[('좋을 호'), ('상황 황')]","모든 기업체의 활동이 정상 이상으로 활발한 상태. 전반적으로 수요와 공급이 늘고, 투자 및 고용의 수준이 높아진다."
확률,"[('굳을 확'), ('율 률')]","일정한 조건 아래에서 어떤 사건이나 사상이 일어날 가능성의 정도. 또는 그런 수치. 수학적으로는 1을 넘을 수 없고 음이 될 수도 없다. 확률 1은 항상 일어남을 의미하고, 확률 0은 절대로 일어나지 않음을 의미한다."
후일,"[('뒤 후'), ('날 일')]","시간이 지나 뒤에 올 날."
회수하다,"[('돌아올 회'), ('거둘 수')]","도로 거두어들이다."
