vocab,hanja,dict_mean
가망,"[""可 옳을 가"", ""望 바랄 망""]","될 만하거나 가능성이 있는 희망.
"
가맹-점,"[""加 더할 가"", ""盟 맹세할 맹"", ""店 가게 점""]","어떤 조직의 동맹이나 연맹에 든 가게나 상점.
"
가명,"[""假 거짓 가"", ""名 이름 명""]","「1」실제의 자기 이름이 아닌 이름.
「2」임시로 지어 부르는 이름.
「3」사물에 붙여진 실답지 않은 헛된 이름.
"
가무,"[""歌 노래 가"", ""舞 춤출 무""]","「1」노래와 춤을 아울러 이르는 말.
「2」노래하면서 춤을 춤.
"
가미-하다,"[""加 더할 가"", ""味 맛 미""]","「1」맛이 나도록 음식 따위에 양념이나 식료품을 더 넣다.
「2」본래의 것에 다른 요소를 보태어 넣다.
「3」약을 지을 때, 본래의 약방문에 적힌 약재에 다른 약재를 더 넣다.
"
가변,"[""可 옳을 가"", ""變 변할 변""]","사물의 모양이나 성질이 바뀌거나 달라질 수 있음. 또는 사물의 모양이나 성질을 바꾸거나 달라지게 할 수 있음.
"
가부장-적,"[""家 집 가"", ""父 아비 부"", ""長 길 장"", ""的 과녁 적""]","[Ⅰ]봉건 사회의 가부장제와 같은 것.
[Ⅱ]봉건 사회의 가부장제와 같은.
"
가산-점,"[""加 더할 가"", ""算 셈 산"", ""點 점 점""]","어떤 것에 대한 대가로 더 주는 점수.
"
강종-하다,"[""强 굳셀 강"", ""從 좇을 종""]","「1」마지못하여 따르다.
「2」억지로 복종을 시키다.
"
개진-하다,"[""改 고칠 개"", ""進 나아갈 진""]","기술이나 낡은 제도 따위가 점차 나아지게 발전하다. 또는 그렇게 만들다.
"
건국-하다,"[""建 세울 건"", ""國 나라 국""]","나라가 세워지다. 또는 나라를 세우다.
"
건실-하다,"[""健 굳셀 건"", ""實 열매 실""]","「1」생각, 태도 따위가 건전하고 착실하다.
「2」몸이 건강하다.
「3」기업의 경영 상태가 좋고 성장 가능성이 높다.
"
건-악기,"[""鍵 열쇠 건"", ""樂 풍류 악"", ""器 그릇 기""]","건반을 가진 악기를 통틀어 이르는 말. 오르간, 피아노, 쳄발로 따위가 있다.
"
건-어물,"[""乾 하늘 건"", ""魚 물고기 어"", ""物 만물 물""]","생선, 조개류 따위를 말린 식품.
"
건재-하다,"[""健 굳셀 건"", ""在 있을 재""]","힘이나 능력이 줄어들지 않고 여전히 그대로 있다.
"
걸신-들리다,"[""乞 빌 걸"", ""神 귀신 신""]","굶주리어 음식을 탐하는 마음이 몹시 나다.
"
검거-하다,"[""檢 봉함 검"", ""擧 들 거""]","수사 기관이 범죄의 예방, 공공 안전의 유지, 범죄의 수사를 위하여 용의자를 일시적으로 억류하다.
"
